cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
2090	8865	9480	2880	2130	9600	8100	6600	9600
2200	8715	9330	2730	1980	9600	8100	6100	9600
2090	8415	9330	2730	1980	9600	7600	6100	9600
1980	9465	9330	2730	1980	9600	8100	6100	9600
1980	9990	9180	2880	2130	9600	8100	6100	9600
2090	8340	9330	2880	2130	9600	8100	6600	9600
4165	990	180	9930	4680	600	9600	9600	1100
2380	765	180	3180	9930	600	3600	8600	1100
3825	915	180	330	9930	600	5600	9600	1600
4845	915	180	1980	9930	100	100	100	100
3485	615	180	9930	9930	600	1100	9600	1100
2635	690	180	5130	9930	600	5100	9600	1100
4080	540	180	2580	9930	100	100	100	100
3655	690	180	1230	9930	600	6100	9600	600
3825	690	180	9930	9930	600	600	9600	1100
2975	765	180	4980	9930	600	600	9600	600
2635	1740	180	9930	9930	600	4100	5600	1100
3570	1215	180	5730	9930	600	600	9600	600
3145	240	180	9930	9930	600	6100	9600	600
3570	540	180	3480	9930	600	600	9600	1600
5185	540	180	180	180	100	100	100	100
3145	240	180	2280	9930	600	2100	9600	1100
3315	465	180	9930	9930	600	9600	9600	1100
5100	315	180	9930	9930	600	8100	2100	600
2890	315	180	6330	9930	600	9600	9600	5600
1955	1290	180	480	9930	600	9600	9600	2600
2635	315	180	9930	9930	600	8600	9600	2100
3655	90	180	630	9930	100	100	100	100
3315	465	180	9930	9930	600	5100	9600	1100
2975	1140	180	1530	9930	600	9600	8600	600
2465	1215	180	9930	9930	600	6600	9600	600
2805	840	180	180	9930	600	1100	9600	600
3485	1965	180	9930	9930	600	2600	9600	1100
2380	765	180	9930	9930	600	9600	2600	1100
2550	240	180	9930	1230	600	7100	9600	1100
4250	240	180	330	9930	600	1100	9600	6600
1080	1815	180	9930	1080	600	5100	3600	600
2040	690	180	9930	9930	600	9600	2100	1100
1320	165	180	9930	9930	600	1100	9600	1600
660	165	180	1080	9930	600	9600	8600	2100
840	1815	180	9930	930	600	1100	9600	600
1080	990	180	7680	9930	600	9600	9600	1600
480	390	180	8430	8130	600	5100	9600	600
1200	690	180	9930	9930	1100	9100	600	600
480	615	180	6480	9930	600	4100	9600	1600
1020	1140	180	180	9930	600	4100	9600	1100
420	615	180	9930	9930	1100	2600	2600	2600
840	240	180	9930	7380	600	5600	7100	2100
1500	315	180	9930	9930	600	9600	9600	1600
1740	690	180	9930	9930	600	2600	9600	1100
840	1440	180	4530	9930	600	7100	6600	1600
780	1290	180	9930	8280	600	1600	1600	1600
480	690	180	9930	5880	600	3100	9600	600
840	1065	180	9930	9930	600	9600	1600	2600
720	1140	180	9630	9930	600	9600	9600	1600
600	915	180	180	180	600	9600	9600	1600
420	615	180	9930	9930	600	9600	1600	1100
960	1290	180	9930	180	600	1600	1100	1600
1260	1140	180	1080	9930	600	9600	9600	600
480	1890	180	9930	9930	600	8600	9600	1100
600	465	180	9930	9930	600	600	9600	1100
420	1365	180	6030	9930	600	9600	6600	1100
300	840	180	9930	2130	600	7100	9600	1100
1560	1140	180	780	9930	600	1100	9600	1600
1620	1065	180	9930	9930	1100	4100	3100	1100
360	1590	180	9930	9930	600	5100	9600	1100
5130	315	180	180	9930	600	4600	9600	1100
7885	840	180	330	9930	600	9600	9600	1100
5510	165	180	4680	9930	600	9100	9600	1100
6745	765	180	1830	9930	600	7600	9600	600
190	240	180	9930	9930	600	600	9600	1100
190	1140	180	9930	9930	600	4100	3600	600
3800	465	180	330	9930	600	600	1600	1100
7030	315	180	9930	9930	600	600	9600	1100
5130	90	180	180	9930	600	600	9600	1100
5225	390	180	9930	9930	600	4600	9600	1100
5510	240	180	630	9930	600	6600	9600	1600
8265	465	180	9930	9930	600	1100	9600	600
5700	465	180	2730	9930	600	600	2600	600
